評論者,星等,評論內容
Min,5,"推薦皮卷和煎腸粉和西多士
老闆是香港人，很親切！
唯一缺點是座位很擠，兩人座基本上是跟其他座位併桌的"
o 0,4,"內用也是用免洗餐具（竹筷子）_
收拾桌面的速度非常快 店員會一直在旁邊看吃完了沒 大概是一吃完的十多秒內盤子就會被收走 內用的話會有點壓力
假日蠻多人排隊 會需要等一下下"
芸,4,"餐肉蛋豬排飯， 豬排好吃有咖哩口味， 但份量不多， XO醬煎腸粉， 裡面的料極少， 不推薦。 乾炒牛河中規中矩 還不錯。
飯有點太硬。"
陳冠宇,3,"看了很多評論，感覺是很道地的香港茶餐廳。在晚上八點快九點到店，很幸運的不用排隊，可以拼桌入座。

乾炒牛河 $200，肉給得還算多，不過覺得不算很有鍋氣的感覺，吃到後面有點膩。可能是期待有點太高，所以實際上有點失望。

冰火菠蘿油 $60 還不錯，奶油蠻小塊的，只有中間一點點，不過菠蘿麵包外殼非常脆，很好吃。

二訪意願是還好，哪天經過不知道要吃什麼的時候可能會再給他一次機會。"
Leo,3,便宜的還可以的港式，口味偏重了點。店員都比較直接，一開始稍微有點不習慣，但我腸胃比較敏感一點，所以扣了點分。
Chia Hui Liu,4,"蝦米煎腸粉
第一次吃煎的腸粉，中規中矩的好吃。

鮮奶油芝多士
鹹奶油給的不小片，不錯。

炸雞腿
炸的嫩，但肉質普通，油脂太多。"
Lesley,4,點了鳳梨雞粒炒飯、XO牛肉炒公仔麵和腸粉，味道都不會太油或太鹹，吃完也不會滿身油煙味，飲料也不錯，重點是服務非常勤快親切，會想再訪～
悠寶,3,"搬家後第一次來吃（外帶）
以前都是乾炒牛河 還行
這次點了咖喱雞排飯..
咖喱很不咖喱，配料是洋蔥、青椒、花耶、半顆滷蛋
雞腿炸的很酥也很大
整體吃下來口超乾
- - - - - - - - -
這次內用了乾炒牛和加辣
不曉得有換師傅還是?（最後吃是多年未搬家前）
總覺得少一味 而且辣是裝飾品(完全無感)

蔥油雞飯 的肉是冷凍退冰出來的(???)

花生乃醬多士 很好吃~吐司也烤的很酥😋
下次試試馬來西亞炒米粉好了~

⭐悠悠飲食參考（南部甜）：
甜：手搖飲微糖
鹹：蠻重鹹的
辣：中辣"
小該,5,"這是我吃過CP值很高
可以說是最好吃的港式沒有之一
絡繹不絕的人龍更能驗證這點
初來乍到只想嚐鮮
結果不太餓的兩個人把整桌吃完以外

現在想到法蘭西多士 還是一直想再吃
太邪惡了"
Jack,5,由香港人主理，可以吃到道地美食，腐皮肉卷和蘿蔔糕必點
Tim Wang,5,豐富的港式茶餐廳美食，包含炒飯、公仔麵、燴飯等主食，以及菠蘿油、蘿蔔糕、法蘭西多士等經典點心。特色菜如鹹魚雞粒炒飯、沙茶海鮮公仔麵和蝦米煎腸粉很受歡迎，口味平價實在，是體驗港式風味的好去處。
Christine Tseng,5,平日中午過去吃不需要排隊，店員態度都很和善很親切，食物幾乎每一種都好吃，完全沒踩雷👍🏻
terri kao,4,中餐時間高朋滿座，可能要稍等一會兒，但翻桌率很快。餐點份量偏小。點餐阿姨會一直站在旁邊等你點餐，壓力有點大。收餐也很快，連下一輪的水杯都已經先放好，壓力有一點點大😅
Darren H.,5,"🛂🛂蠻好吃，服務人員很直率可愛的一家店，東西都不錯吃，用餐時間要排隊

ℹ️ℹ️杯水有個味道(再訪正常了 )
🈴🉐🆙鹹魚雞炒飯

🉐🈴🆙檸檬紅茶（凍檸茶）
飲料還是一人一杯配這飯菜比較爽

🉐🈴🆙腐皮捲
點起來 ,好吃

🉐🈴🆙橙汁雞排飯
帶橙汁的甜酸味, 風味清爽也夠味,很可以

🈵🈴那個蓮蓉包好彈
🥳🥳"
OS W (Onestar),4,這次的飯有點硬，但是整體上風味很好，環境優，港佬家族讚。
花神,3,"感覺食物風味比舊址時 清淡
不過也有可能是多年未訪
心心念念的雪菜肉絲炆米 實在太寡淡
雪菜的鹹味完全没有吃出來
整體風味跟竹x莊不能相比
甚至連x發都比不過
例湯也沒有味道
炸鷄排粉過多完全吃不出鷄肉的調味
川貝杏仁跟腐乳高麗菜還可以
豬排炒公仔麵 麵的熟度很不錯 但一樣調味偏淡
波蘿油相比味道最好
不過麵包的甜跟奶油的鹹香有點不搭
麵包口感偏軟

整體來說
不似我們熟悉正宗茶餐廳的重味道
門庭若市的情況下也許真融入了台式的清淡味道了"
Miss Lin,5,"亁炒牛河 （目前吃過第一名）
奶茶🧋
腐皮蝦捲
蘿蔔糕

以上必吃 👍👍👍

我是外地人，下次去台北還會去吃
來台北三天，我去吃了兩次
另外一次去吃西門町的祥發

這離東門捷運站不遠，走一段路
聽說重新裝潢一個禮拜而已
很幸運去的時候沒有排隊
位置間隔有點小 空間小，所以有點吵
吃飯的時間 常常客滿
翻桌蠻快的。"
黃俊瑋,3,"很久沒吃
油雞的雞肉是冰的..還有點凍的感覺😅
乾炒牛河沒有以前香..份量就縮水又漲價
不過結帳時本來是510 老闆算我500而已
算還有點人情味😂"
Joanna,4,"3.8⭐️
出菜速度快到不可思議
服務生很著急收碗
西多士會是第一個上菜的
等主餐吃完就溫掉了😅"
